genus	FT	CT	BT	FW	CW	BW
Bacillus	2450	67.83333333	27025	824.1666667	481.5	28304.33333
Neptuniibacter	4056.166667	15028.66667	283.5	2662	107.6666667	1
Sulfitobacter	124	704.1666667	590.5	6256.166667	2074.833333	595.1666667
Mesoflavibacter	15.5	1059.166667	836.6666667	0.166666667	5923.833333	1029.5
Halomonas	157.3333333	754	216.6666667	129.1666667	6891.166667	265.6666667
unclassified_f__Rhodobacteraceae	723.8333333	1453.666667	212.1666667	3037	944.1666667	539.1666667
Cobetia	0.666666667	12.5	0.333333333	4392.833333	2235.833333	105.8333333
Vibrio	5100.666667	744.1666667	125.6666667	0	58.5	8.5
Methylotenera	665.5	242.6666667	3	3529.333333	44	0.333333333
Hymenobacter	4133.5	0	0	0.333333333	0	0
Donghicola	2949.333333	185.6666667	30.16666667	15.16666667	458.5	25.66666667
Psychrobacter	36	0	0.333333333	1.333333333	3282.666667	49.16666667
Marivita	128	1017	25.16666667	1207.166667	837.1666667	75
Ruegeria	117	733	408.6666667	13.16666667	1409.666667	154
norank_f__Methyloligellaceae	85.66666667	739.3333333	16.16666667	1630.5	62.33333333	1.166666667
Tenacibaculum	438.6666667	1138	229.1666667	0	382.6666667	47.5
Acinetobacter	272.8333333	6.833333333	0.666666667	99.5	1842.5	7.333333333
Nautella	52.5	835.3333333	446	23.66666667	455.8333333	86
Photobacterium	1790	4.833333333	0.666666667	0	0	0
Limnobacter	378.5	853	13.5	179.8333333	3.166666667	0.166666667
Exiguobacterium	86.5	0.666666667	0	1108.666667	55.16666667	0
Croceibacter	89.33333333	1.5	0	1063.166667	6.5	0
Alteromonas	57.5	68	11.5	27	948.1666667	35.33333333
Lewinella	52.33333333	791	196.5	0.666666667	1	0.5
unclassified_f__Flavobacteriaceae	39	358.6666667	43.83333333	152.5	192	18
Cognatishimia	12.66666667	476.8333333	7.166666667	196.3333333	81	0
norank_o__Milano-WF1B-44	25	34.33333333	1.5	561.1666667	14.16666667	0
Erythrobacter	32.16666667	64.83333333	17.16666667	217.5	251.1666667	13.16666667
Polycyclovorans	9.166666667	559.5	9.5	0	11.16666667	0.5
unclassified_c__Gammaproteobacteria	159.8333333	260	17.66666667	29.83333333	86.33333333	14.33333333
Methylophaga	312	48	2.5	162	2.833333333	0.5
unclassified_f__Alteromonadaceae	301	28.83333333	120.6666667	0	8.5	51.16666667
Sphingobium	481.5	0	0	0	0	0
Peredibacter	187.1666667	21.83333333	2.833333333	251	3	0.666666667
